,updates
1551,612760
1552,127330
1553,462823
1554,423239
1555,352676
1556,304005
1557,482903
1558,249810
1559,518880
1560,118847
1561,597097
1562,676372
1563,654157
1564,389973
1565,474524
1566,545491
1567,643375
1568,487511
1569,508859
1570,607859
1571,559857
1572,472855
1573,401372
1574,657720
1575,539206
1576,604340
1577,525661
1578,548989
1579,444063
1580,298319
1581,510788
1582,497613
1583,245058
1584,222800
1585,499989
1586,352866
1587,513786
1588,498429
1589,326671
1590,494613
1591,251710
1592,682811
1593,306365
1594,350660
1595,137785
1596,592034
1597,499765
1598,448515
1599,570370
1600,364630
1601,498099
1602,476964
1603,600022
1604,494608
1605,612412
1606,598315
1607,524054
1608,622381
1609,436248
1610,497021
1611,517291
1612,683592
1613,681154
1614,414268
1615,418420
1616,383371
1617,402965
1618,324573
1619,394078
1620,518305
1621,435170
1622,738687
1623,505513
1624,116064
1625,538726
1626,342490
1627,666285
1628,301421
1629,631567
1630,640346
1631,591399
1632,581491
1633,464007
1634,727581
1635,578741
1636,477056
1637,444204
1638,664798
1639,527712
1640,268907
1641,608079
1642,429404
1643,566276
1644,514464
1645,603166
1646,346800
1647,470116
1648,463367
1649,490802
1650,148171
1651,184869
1652,695756
1653,587270
1654,90397
1655,575723
1656,471830
1657,634895
1658,493259
1659,411805
1660,610285
1661,390620
1662,67835
1663,461220
1664,419565
1665,462108
1666,667314
1667,274972
1668,480877
1669,515767
1670,820811
1671,537647
1672,543748
1673,744504
1674,713310
1675,392704
1676,722128
1677,462955
1678,616392
1679,667880
1680,592382
1681,562218
1682,484282
1683,422925
1684,258353
1685,496502
1686,530570
1687,419498
1688,429709
1689,579475
1690,560918
1691,327800
1692,506116
1693,509851
1694,542448
1695,328190
1696,179809
1697,467352
1698,400187
1699,470313
1700,616372
1701,561797
1702,467829
1703,364584
1704,486637
1705,574551
1706,485123
1707,534994
1708,446336
1709,526111
1710,486940
1711,489059
1712,626978
1713,360791
1714,544103
1715,231395
1716,217570
1717,359351
1718,507843
1719,522326
1720,439444
1721,411514
1722,365426
1723,547372
1724,302490
1725,501305
1726,184629
1727,589012
1728,533223
1729,448796
1730,312449
1731,723192
1732,240684
1733,567724
1734,635751
1735,462930
1736,352238
1737,350810
1738,605809
1739,557330
1740,420598
1741,639247
1742,581690
1743,574878
1744,521236
1745,462457
1746,387543
1747,397413
1748,388926
1749,452115
1750,246101
1751,633163
1752,19168
1753,585956
1754,476183
1755,404996
1756,380559
1757,647589
1758,544912
1759,505976
1760,163076
1761,393285
1762,478710
1763,395352
1764,527427
1765,617243
1766,515909
1767,404428
1768,639286
1769,703325
1770,250798
1771,561277
1772,374753
1773,201060
1774,572710
1775,292732
1776,319817
1777,592334
1778,491385
1779,310885
1780,450336
1781,402931
1782,358253
1783,626072
1784,536189
1785,367853
1786,612998
1787,266322
1788,353176
1789,651336
1790,653674
1791,519949
1792,302999
1793,440692
1794,628830
1795,339582
1796,500130
1797,524404
1798,403989
1799,366338
1800,476431
1801,606494
1802,589086
1803,262761
1804,168763
1805,453328
1806,733747
1807,495952
1808,402454
1809,405562
1810,429019
1811,380249
1812,406569
1813,585403
1814,337005
1815,500003
1816,359641
1817,456474
1818,391315
1819,505125
1820,245062
1821,386580
1822,528659
1823,353440
1824,487783
1825,497095
1826,539743
1827,373146
1828,193388
1829,368713
1830,458848
1831,317036
1832,297950
1833,332445
1834,509080
1835,495623
1836,542380
1837,632578
1838,521044
1839,516921
1840,442798
1841,560649
1842,508286
1843,431368
1844,410150
1845,411749
1846,92175
1847,512269
1848,519738
1849,510120
1850,148776
1851,501167
1852,556099
1853,599207
1854,361904
1855,568348
1856,410273
1857,407577
1858,269514
1859,544367
1860,502049
1861,327115
1862,433967
1863,636250
1864,542107
1865,560362
1866,519934
1867,382975
1868,542300
1869,497798
1870,588611
1871,415265
1872,434689
1873,323190
1874,346847
1875,566394
1876,292813
1877,531390
1878,155457
1879,438960
1880,625397
1881,406977
1882,636413
1883,435428
1884,496882
1885,457544
1886,357590
1887,606589
1888,400814
1889,313877
1890,624511
1891,537622
1892,440338
1893,266239
1894,253251
1895,521629
1896,368535
1897,349723
1898,515940
1899,540989
1900,513360
1901,437048
1902,404357
1903,532940
1904,575728
1905,325423
1906,411661
1907,559292
1908,566705
1909,648040
1910,586242
1911,402361
1912,529279
1913,439396
1914,474913
1915,520379
1916,418381
1917,209762
1918,437105
1919,122511
1920,526870
1921,468733
1922,649895
1923,189883
1924,381191
1925,368439
1926,531135
1927,481998
1928,669231
1929,675402
1930,323274
1931,435938
1932,664431
1933,314268
1934,420134
1935,316299
1936,352544
1937,435323
1938,262576
1939,348715
1940,292202
1941,376128
1942,303416
1943,536820
1944,556801
1945,638522
1946,475100
1947,599284
1948,441388
1949,455958
1950,368042
1951,467961
1952,251686
1953,395221
1954,518930
1955,518014
1956,645338
1957,432076
1958,486489
1959,536574
1960,585844
1961,553151
1962,505779
1963,368157
1964,466511
1965,378522
1966,423628
1967,404547
1968,432610
1969,586003
1970,643190
1971,360735
1972,604510
1973,463442
1974,524725
1975,526825
1976,412015
1977,446725
1978,498070
1979,465265
1980,558218
1981,315361
1982,495870
1983,542360
1984,356940
1985,511324
1986,457330
1987,329536
1988,591075
1989,391837
1990,565021
1991,491720
1992,327537
1993,551125
1994,316253
1995,477147
1996,290635
1997,466501
1998,418086
1999,294621
2000,473462
2001,429439
2002,80893
2003,651828
2004,476603
2005,321175
2006,628279
2007,488943
2008,430960
2009,400873
2010,521085
2011,515249
2012,343081
2013,377453
2014,112269
2015,312283
2016,431514
2017,421208
2018,167117
2019,488810
2020,431851
2021,511627
2022,331315
2023,318284
2024,618981
2025,570839
2026,360012
2027,130416
2028,326621
2029,527055
2030,600360
2031,371645
2032,288359
2033,369048
2034,313661
2035,621550
2036,351864
2037,462443
2038,402759
2039,321863
2040,576195
2041,142546
2042,304264
2043,512131
2044,421550
2045,446673
2046,287674
2047,262221
2048,492050
2049,182613
2050,168531
2051,557233
2052,458958
2053,473679
2054,560763
2055,430407
2056,522733
2057,380711
2058,340917
2059,485737
2060,300573
2061,311334
2062,202849
2063,381840
2064,423579
2065,144227
2066,484936
2067,396141
2068,427377
2069,552247
2070,364143
2071,355570
2072,373750
2073,319238
2074,230233
2075,254880
2076,363360
2077,303647
2078,530086
2079,438162
2080,460153
2081,373152
2082,641939
2083,32418
2084,382442
2085,126112
2086,574337
2087,499418
2088,590137
2089,555556
2090,534188
2091,345758
2092,665539
2093,390116
2094,116052
2095,540690
2096,437367
2097,411023
2098,513235
2099,274813
2100,481656
2101,447272
2102,366884
2103,479314
2104,578620
2105,476303
2106,525369
2107,395481
2108,571391
2109,480103
2110,540005
2111,373651
2112,310672
2113,558087
2114,522664
2115,209280
2116,458923
2117,457899
2118,502561
2119,305616
2120,523069
2121,316027
2122,461577
2123,485186
2124,451428
2125,243188
2126,602746
2127,363802
2128,187917
2129,373094
2130,303214
2131,212962
2132,283788
2133,346900
2134,456815
2135,366888
2136,360161
2137,548904
2138,327663
2139,260231
2140,237890
2141,464572
2142,615183
2143,430504
2144,276109
2145,228007
2146,275572
2147,427864
2148,570119
2149,438164
2150,540595
2151,277660
2152,456961
2153,672169
2154,215768
2155,542510
2156,424276
2157,456734
2158,612926
2159,239148
2160,277743
2161,341414
2162,415744
2163,537890
2164,478813
2165,362694
2166,317146
2167,520150
2168,392263
2169,465566
2170,375447
2171,272061
2172,463355
2173,329660
2174,516655
2175,493702
2176,401079
2177,415190
2178,636949
2179,543911
2180,676472
2181,649902
2182,279246
2183,537225
2184,539344
2185,441993
2186,357114
2187,279944
2188,367603
2189,554068
2190,404080
2191,472223
2192,345003
2193,389589
2194,244851
2195,480059
2196,170246
2197,420863
2198,519060
2199,339908
2200,439777
2201,292946
2202,522601
2203,534007
2204,249272
2205,407796
2206,365365
2207,491735
2208,500456
2209,382988
2210,694752
2211,595287
2212,439355
2213,374309
2214,480871
2215,437175
2216,484116
2217,129878
2218,485668
2219,539670
2220,454721
2221,211305
2222,590533
2223,347755
2224,570005
2225,547576
2226,426218
2227,451679
2228,474279
2229,473485
2230,274419
2231,305396
2232,455622
2233,352529
2234,408801
2235,351675
2236,454105
2237,299632
2238,553922
2239,542193
2240,458974
2241,571835
2242,349216
2243,282775
2244,463543
2245,290453
2246,342176
2247,368606
2248,492673
2249,445813
2250,387650
2251,461774
2252,459530
2253,697717
2254,306768
2255,321798
2256,332894
2257,322910
2258,513003
2259,481160
2260,245679
2261,540813
2262,392786
2263,547864
2264,500388
2265,305657
2266,440148
2267,412484
