,updates
1419,461702
1420,596198
1421,516219
1422,303033
1423,557026
1424,436883
1425,261991
1426,606960
1427,460363
1428,349245
1429,478446
1430,208827
1431,240626
1432,525043
1433,431112
1434,250151
1435,541347
1436,537623
1437,420455
1438,274899
1439,226953
1440,624564
1441,428393
1442,248352
1443,266467
1444,703507
1445,535523
1446,172977
1447,314598
1448,526614
1449,484904
1450,627407
1451,557694
1452,339022
1453,497833
1454,459466
1455,554102
1456,185609
1457,521810
1458,537107
1459,538181
1460,521808
1461,600007
1462,539253
1463,328097
1464,572222
1465,612084
1466,600585
1467,390260
1468,421411
1469,471147
1470,297477
1471,452825
1472,512238
1473,588560
1474,178160
1475,121257
1476,536975
1477,386376
1478,576232
1479,486417
1480,541094
1481,324870
1482,429324
1483,423031
1484,488289
1485,520032
1486,377867
1487,410549
1488,482773
1489,619872
1490,496555
1491,311059
1492,403685
1493,477685
1494,410643
1495,496247
1496,495645
1497,388519
1498,448776
1499,452112
1500,204460
1501,546613
1502,402379
1503,547661
1504,511647
1505,361904
1506,305837
1507,416063
1508,248809
1509,540645
1510,429805
1511,217807
1512,492005
1513,543846
1514,451342
1515,287651
1516,573535
1517,396408
1518,518031
1519,530493
1520,291201
1521,291909
1522,462606
1523,178893
1524,415972
1525,655728
1526,528008
1527,261875
1528,386214
1529,470372
1530,409580
1531,774492
1532,601683
1533,447427
1534,563790
1535,295454
1536,438969
1537,535856
1538,514519
1539,365803
1540,546010
1541,598155
1542,449047
1543,482679
1544,419998
1545,442301
1546,389812
1547,513358
1548,406722
1549,494773
1550,518118
1551,438873
1552,600009
1553,473902
1554,529275
1555,663207
1556,301444
1557,450484
1558,400311
1559,545260
1560,507271
1561,544789
1562,582376
1563,514735
1564,182066
1565,379162
1566,338387
1567,541757
1568,619131
1569,462625
1570,507506
1571,352652
1572,302771
1573,319910
1574,532326
1575,112204
1576,619264
1577,364911
1578,265282
1579,431722
1580,528574
1581,486161
1582,657381
1583,428337
1584,317751
1585,498689
1586,581866
1587,576412
1588,418015
1589,375300
1590,442112
1591,326243
1592,541993
1593,397398
1594,192093
1595,469285
1596,301972
1597,289887
1598,195412
1599,503379
1600,552121
1601,429217
1602,380882
1603,467231
1604,536049
1605,456909
1606,540625
1607,559204
1608,260328
1609,492377
1610,28467
1611,409272
1612,448681
1613,626167
1614,464218
1615,462066
1616,199606
1617,646892
1618,444030
1619,428195
1620,537425
1621,671983
1622,454503
1623,543004
1624,303832
1625,517127
1626,528540
1627,601423
1628,547692
1629,282635
1630,475882
1631,493636
1632,482938
1633,779315
1634,411232
1635,536919
1636,509384
1637,611947
1638,486339
1639,481179
1640,521183
1641,562409
1642,528584
1643,494972
1644,304802
1645,649598
1646,476366
1647,311276
1648,472298
1649,525349
1650,423758
1651,230837
1652,526961
1653,565530
1654,238766
1655,616892
1656,184112
1657,608257
1658,519813
1659,435586
1660,465219
1661,258061
1662,460908
1663,557862
1664,176138
1665,125977
1666,456937
1667,585387
1668,575007
1669,471041
1670,464423
1671,413017
1672,457077
1673,469541
1674,416454
1675,373272
1676,454414
1677,430018
1678,520052
1679,509097
1680,495535
1681,538858
1682,598530
1683,344946
1684,525196
1685,242001
1686,497909
1687,389756
1688,527877
1689,478968
1690,333450
1691,644698
1692,332059
1693,368569
1694,313408
1695,526094
1696,339324
1697,376407
1698,514336
1699,450370
1700,439051
1701,194772
1702,386748
1703,414928
1704,313410
1705,481568
1706,607973
1707,370564
1708,595078
1709,439647
1710,359137
1711,318086
1712,354311
1713,73428
1714,75728
1715,163962
1716,188757
1717,36635
1718,497993
1719,403337
1720,586533
1721,580250
1722,472854
1723,399207
1724,265644
1725,492952
1726,586013
1727,490081
1728,483826
1729,446579
1730,608614
1731,448216
1732,226865
1733,432938
1734,341324
1735,710394
1736,402479
1737,403727
1738,468594
1739,532687
1740,374650
1741,414521
1742,478653
1743,192473
1744,463560
1745,184853
1746,460159
1747,465972
1748,463824
1749,626497
1750,485389
1751,474146
1752,489884
1753,235369
1754,656348
1755,498485
1756,549246
1757,485148
1758,616539
1759,436719
1760,381487
1761,451682
1762,452047
1763,378971
1764,526838
1765,489874
1766,403472
1767,475600
1768,482913
1769,493443
1770,524150
1771,528714
1772,618851
1773,437565
1774,552686
1775,461286
1776,224791
1777,527671
1778,534809
1779,410228
1780,500366
1781,456796
1782,341657
1783,322321
1784,429576
1785,469243
1786,219994
1787,379531
1788,300191
1789,425677
1790,291079
1791,453120
1792,497805
1793,479033
1794,330506
1795,517531
1796,474064
1797,513333
1798,691515
1799,348756
1800,253643
1801,324260
1802,73694
1803,542174
1804,575129
1805,457749
1806,362532
1807,325194
1808,497703
1809,333760
1810,405567
1811,577191
1812,265598
1813,485030
1814,554877
1815,483056
1816,435199
1817,418361
1818,397108
1819,436200
1820,629931
1821,404336
1822,264462
1823,288083
1824,536811
1825,612816
1826,535555
1827,459309
1828,261021
1829,369147
1830,459931
1831,294150
1832,304055
1833,381590
1834,645856
1835,513023
1836,582022
1837,226508
1838,528498
1839,179372
1840,573090
1841,528242
1842,607210
1843,500099
1844,528267
1845,425522
1846,286210
1847,267224
1848,142233
1849,363620
1850,365682
1851,503456
1852,109577
1853,532652
1854,458837
1855,424398
1856,379747
1857,491680
1858,624258
1859,286646
1860,91736
1861,473243
1862,239324
1863,414732
1864,457579
1865,465529
1866,394270
1867,434246
1868,137793
1869,521936
1870,461924
1871,510789
1872,522031
1873,480464
1874,494045
1875,382743
1876,42729
1877,437254
1878,429332
1879,412350
1880,652728
1881,367555
1882,147378
1883,296057
1884,491561
1885,312832
1886,608745
1887,439002
1888,432637
1889,131477
1890,560233
1891,437407
1892,262680
1893,507382
1894,265246
1895,409035
1896,362351
1897,318706
1898,430852
1899,264081
1900,426260
1901,471635
1902,424874
1903,608274
1904,518561
1905,424874
1906,186648
1907,534999
1908,180200
1909,544705
1910,294464
1911,417968
1912,353002
1913,399424
1914,673301
1915,438059
1916,532260
1917,420453
1918,453029
1919,465999
1920,527738
1921,459585
1922,232529
1923,735757
1924,425914
1925,279641
1926,300719
1927,501936
1928,439003
1929,536416
1930,511897
1931,550954
1932,118546
1933,669266
1934,334953
1935,401062
1936,252384
1937,414971
1938,350626
1939,512346
1940,690495
1941,304292
1942,508309
1943,460232
1944,193868
1945,276373
1946,561229
1947,392245
1948,503688
1949,394622
1950,447620
1951,523465
1952,390423
1953,529959
1954,127802
1955,347369
1956,334707
1957,539674
1958,511353
1959,334055
1960,530972
1961,438024
1962,451125
1963,24015
1964,338399
1965,466843
1966,253154
1967,541388
1968,519879
1969,255539
1970,304679
1971,275427
1972,431456
1973,415128
1974,404923
1975,339222
1976,105236
1977,278042
1978,457296
1979,660050
1980,492681
1981,529745
1982,664073
1983,571477
1984,521098
1985,540497
1986,555452
1987,481985
1988,527095
1989,653673
1990,374780
1991,265186
1992,435088
1993,432247
1994,518090
1995,536084
1996,466729
1997,496834
1998,403716
1999,404461
2000,133562
2001,496336
2002,473514
2003,308385
2004,294820
2005,572776
2006,373700
2007,445792
2008,522327
2009,390572
2010,415359
2011,567071
2012,461320
2013,378278
2014,487261
2015,603905
2016,418032
2017,581817
2018,589771
2019,375066
2020,385915
2021,498391
2022,467232
2023,380855
2024,716274
2025,488254
2026,510891
2027,594189
2028,374768
2029,409156
2030,238159
2031,339627
2032,322900
2033,513260
2034,334492
2035,310553
2036,425457
2037,312968
2038,622719
2039,320036
2040,328936
2041,623455
2042,607713
2043,542198
2044,454760
2045,438975
2046,551416
2047,404876
2048,593715
2049,425682
2050,372008
2051,516158
2052,476651
2053,465267
2054,473694
2055,293731
2056,354871
2057,418940
2058,515393
2059,493496
2060,471624
2061,532781
2062,474421
2063,546343
2064,484554
2065,308782
2066,415327
2067,516725
2068,550735
2069,409215
2070,462617
2071,504540
2072,472178
2073,302977
2074,567473
2075,448658
2076,474967
2077,426311
2078,615838
2079,524696
2080,569901
2081,418873
2082,477404
2083,417016
2084,453978
2085,247545
2086,309377
2087,557273
2088,493197
2089,350730
2090,494882
2091,527559
2092,442144
2093,425918
2094,320000
2095,477144
2096,242594
2097,411189
2098,347615
2099,642229
2100,297491
2101,518010
2102,507205
2103,519674
2104,470604
2105,551494
2106,278404
2107,415510
2108,420109
2109,220232
2110,282476
2111,530475
2112,317024
2113,512434
2114,341843
2115,510034
2116,593845
2117,184520
2118,293723
2119,205036
2120,488201
2121,528614
2122,177305
2123,488106
2124,463813
2125,559783
2126,318253
2127,237020
2128,520785
2129,412174
2130,582467
2131,252895
2132,415397
2133,448040
2134,373053
2135,469356
2136,201725
2137,62389
2138,489740
2139,439599
2140,221028
2141,317510
2142,436193
2143,472169
2144,479090
2145,340756
2146,221225
2147,331870
2148,475636
2149,260897
2150,405755
2151,468864
2152,509525
2153,417014
2154,350684
2155,464820
2156,81872
2157,167254
2158,414895
2159,541511
2160,370913
2161,252881
2162,656817
2163,564942
2164,369815
2165,417459
2166,389556
2167,428108
2168,439785
2169,301373
2170,462495
2171,368444
2172,275864
2173,607950
2174,538811
2175,465926
2176,323470
2177,438889
2178,382447
2179,401112
2180,391842
2181,326266
2182,652457
2183,387559
2184,340618
2185,316444
2186,462478
2187,664372
2188,351016
2189,416273
2190,586306
2191,385878
2192,139908
2193,488557
2194,205522
2195,397270
2196,457268
2197,511380
2198,246878
2199,476814
2200,417053
2201,582620
2202,446480
2203,658229
2204,246335
2205,333160
2206,454987
2207,484961
2208,459013
2209,245423
2210,579689
2211,296023
2212,345838
2213,343612
2214,577903
2215,424276
2216,543888
2217,535211
2218,390857
2219,478306
2220,197722
2221,457110
2222,426902
2223,612512
2224,459320
2225,459008
2226,514506
2227,469336
2228,346448
2229,436506
2230,561872
2231,444649
2232,440881
2233,87376
2234,550175
2235,591123
2236,462570
2237,358581
2238,433018
2239,306156
2240,642347
2241,387031
2242,411845
2243,554741
2244,443999
2245,211853
2246,468258
2247,470331
2248,266088
2249,349371
2250,530520
2251,470549
2252,359757
2253,15474
2254,550441
2255,164602
2256,477622
2257,273078
2258,436243
2259,403284
2260,445379
2261,560194
2262,584104
2263,257114
2264,169323
2265,661062
2266,593294
2267,487548
2268,685278
2269,446418
2270,604100
2271,419278
2272,229297
2273,346786
2274,318285
2275,616964
2276,440026
2277,300611
2278,507353
2279,406590
2280,382089
2281,338416
2282,556617
2283,387290
2284,415291
2285,626167
2286,471874
2287,388829
2288,452917
2289,271508
2290,490953
2291,455427
2292,439573
2293,551259
2294,503176
2295,574943
2296,452153
2297,471928
2298,396158
2299,149762
2300,508215
2301,214610
2302,357972
2303,188901
2304,240837
2305,411197
2306,440078
2307,113583
2308,533045
2309,380675
2310,482407
2311,356476
2312,342671
2313,119665
2314,361468
2315,373780
2316,386999
2317,196481
2318,266938
2319,526072
2320,431739
2321,340454
2322,561943
2323,367608
2324,406822
2325,373610
2326,505895
2327,458852
2328,365680
2329,360508
2330,330173
2331,573902
2332,434401
2333,452410
2334,483473
2335,599734
2336,389429
2337,430690
2338,520661
2339,101657
2340,400148
2341,317758
2342,184829
2343,487995
2344,161602
2345,453211
2346,470718
2347,421584
2348,394254
2349,389714
2350,398176
2351,433154
2352,207312
2353,375799
2354,333795
2355,383216
2356,238699
2357,510727
2358,351906
2359,443598
2360,534015
2361,361222
2362,329861
2363,493817
2364,474438
2365,415694
2366,366150
2367,424980
2368,379754
2369,546854
2370,263762
2371,433637
2372,443201
2373,561509
2374,184024
2375,329823
2376,425960
2377,339744
2378,313544
2379,319696
2380,407869
2381,530844
2382,301305
2383,646525
2384,437014
2385,445807
2386,432449
2387,445027
2388,625969
2389,239252
2390,278079
2391,488308
2392,507766
2393,504711
2394,430571
2395,305633
2396,349630
2397,478621
2398,423606
2399,467759
2400,414708
2401,488305
2402,168436
2403,216394
2404,325485
2405,613935
2406,499965
2407,586069
2408,313019
2409,349922
2410,464555
2411,211960
2412,186769
2413,458062
2414,509374
2415,491646
2416,341030
2417,374714
2418,343917
2419,301866
2420,289756
2421,513354
2422,323880
2423,422945
2424,498470
2425,275210
2426,376738
2427,637808
2428,148778
2429,477165
2430,325988
2431,413996
2432,586271
2433,495901
2434,319075
2435,400047
2436,307934
2437,568935
2438,397931
2439,409896
2440,298842
2441,265765
2442,432435
2443,347775
2444,427468
2445,440091
2446,155358
2447,346524
2448,257411
2449,399685
2450,610096
2451,235928
2452,568241
2453,238630
2454,574199
2455,338085
2456,687209
2457,249653
2458,561127
2459,170621
2460,337470
2461,455579
2462,380202
2463,335389
2464,206224
2465,371235
2466,343978
2467,469290
2468,444692
2469,484245
2470,354919
2471,359370
2472,327280
2473,427481
2474,374280
2475,461887
2476,362073
2477,419814
2478,164954
2479,483412
2480,410905
2481,375495
2482,431713
2483,410863
2484,369123
2485,391319
2486,479231
2487,521626
2488,411879
2489,172137
2490,426564
2491,280522
2492,506811
2493,98117
2494,481195
2495,480864
